Customer_Name,Customer_Type,Gender,Age
Stacey Price,Homemaker,F,25
Michelle Carlson,Professional,F,47
Lisa Graves,Professional,F,34
Mrs. Patricia May,Homemaker,F,44
Susan Mitchell,Young Adult,F,22
Joshua Frazier,Retiree,M,72
Victoria Garrett,Student,F,6
Sydney Waller,Young Adult,F,29
Kimberly Morgan,Homemaker,F,51
Lori Conway,Young Adult,F,24
Randall Roberts,Middle-Aged,M,51
Jeremiah White,Young Adult,M,22
Sheila Mcgee,Student,F,17
Allen Miles,Retiree,M,76
Mark Howard,Retiree,M,61
Jesse Henderson,Retiree,M,63
Eric Wall,Homemaker,M,33
Vanessa Peck,Senior Citizen,F,71
Dominique Stout,Professional,M,54
Charles Brooks,Homemaker,M,20
Angela Jones,Teenager,F,18
John Roberts,Retiree,M,79
Nicole White,Retiree,F,80
Don Harris,Retiree,M,63
Hannah Rowland,Student,F,13
Jessica Gonzalez,Professional,F,36
Christina Smith,Senior Citizen,F,65
Latoya Allen,Professional,F,44
Clayton Roth,Teenager,M,14
Dennis Alvarez,Teenager,M,17
Jose Hill,Senior Citizen,M,68
Kristin Webb,Teenager,F,17
Robert Gilbert DDS,Middle-Aged,M,42
Thomas Oliver,Homemaker,M,59
Stacy Owen,Teenager,F,18
Ann Kane,Young Adult,F,30
Mr. John Long,Middle-Aged,M,52
Annette Robinson,Homemaker,F,51
Kimberly Baldwin,Student,F,17
Donald Bradford,Young Adult,M,22
Mike Gilbert,Professional,M,44
Rebecca Morton,Retiree,F,63
Nicole Hernandez,Professional,F,52
Paige White,Student,F,12
Mr. Lance Perkins,Middle-Aged,M,42
Kelly Foley,Professional,F,47
Paula Maldonado,Student,F,17
Roberto Franklin,Retiree,M,69
Steven Clements,Teenager,M,17
Katherine Luna,Retiree,F,68
Ryan Hammond,Teenager,M,18
Valerie Johnson,Retiree,F,65
Jennifer Mitchell,Senior Citizen,F,70
Nathan Schwartz,Senior Citizen,M,72
Rebecca Gilmore,Retiree,F,66
Todd Parrish,Student,M,17
Christopher Blake,Young Adult,M,18
Marie Young,Homemaker,F,48
James Mccarthy,Middle-Aged,M,55
Sharon Espinoza,Professional,F,55
Rachel Rasmussen,Young Adult,F,18
Thomas Lowery,Senior Citizen,M,72
Richard Johnston,Professional,M,49
Rebecca Vasquez,Professional,F,32
Samuel Mays,Young Adult,M,30
Karen Williams,Young Adult,F,25
Ian Murphy,Homemaker,M,26
Elizabeth Li,Retiree,F,75
Brenda Chase,Teenager,F,19
Anthony Miranda,Retiree,M,71
Patricia Adams,Senior Citizen,F,61
Jacob Douglas,Retiree,M,60
Martin Gonzalez,Student,M,9
Sherry Nunez,Homemaker,F,48
Joshua Livingston,Middle-Aged,M,51
Kimberly Morton,Teenager,F,15
Robin Graham,Homemaker,M,47
Donna Randall,Young Adult,F,26
Alfred Schneider,Homemaker,M,51
Taylor Wilson,Professional,M,55
Matthew Henderson,Teenager,M,18
Christina Hoover,Homemaker,F,23
Paul Tate,Retiree,M,77
Melissa Rose,Teenager,F,19
Brittany Simmons,Student,F,10
Henry Kirk,Student,M,7
James Richardson,Retiree,M,64
Keith Rodriguez,Retiree,M,71
Marie Owen,Middle-Aged,F,53
James Adams,Senior Citizen,M,63
Troy Durham,Middle-Aged,M,41
Dr. Adam Chan,Professional,M,45
Mark Blankenship,Retiree,M,68
Brooke Bennett,Young Adult,F,24
Dale Castaneda,Middle-Aged,M,40
Jim Wells,Teenager,M,19
Michael Johnson,Middle-Aged,M,43
Lisa Delgado,Professional,F,50
Matthew Jackson,Professional,M,53
Nicholas Stephens,Middle-Aged,M,42
Jean Moore,Teenager,F,17
Daniel Johnson,Student,M,5
Maria Murray MD,Senior Citizen,F,78
Scott Hunter,Professional,M,55
Sean Moore,Retiree,M,69
Alexander Harmon,Young Adult,M,27
David Rodriguez,Retiree,M,70
Linda Davis,Retiree,F,74
Linda Hayden,Teenager,F,16
Connie Baker,Middle-Aged,F,46
Mr. Kenneth Watson,Teenager,M,15
Maurice Brown,Teenager,M,19
William Wood,Student,M,12
Javier Ryan,Teenager,M,15
Mr. David Casey,Teenager,M,18
Ms. Megan Hicks,Teenager,F,16
Debbie Tucker,Teenager,F,15
Joseph Guzman,Middle-Aged,M,42
Xavier Tran,Teenager,M,13
Janet Sullivan,Retiree,F,61
James Ray,Senior Citizen,M,75
Jason Marshall,Homemaker,M,41
Alexander Wright,Student,M,13
Cathy Jackson,Homemaker,F,34
Mercedes Anderson,Homemaker,F,37
Anthony Christensen,Young Adult,M,18
Cameron Walker,Professional,M,42
Paul Brown,Professional,M,46
Kimberly Stevens,Professional,F,55
Jordan Garcia,Retiree,M,73
Ryan Joseph II,Middle-Aged,M,47
Debbie Brown,Senior Citizen,F,67
Dawn Pratt,Senior Citizen,F,64
Madison Hill,Teenager,F,16
Kelly Atkinson,Teenager,F,16
Patricia Fuller,Professional,F,41
Debra Brown,Teenager,F,13
Brett Hernandez,Professional,M,36
Diane Hughes,Middle-Aged,F,54
Jeffrey Jones,Senior Citizen,M,80
Frank Torres,Teenager,M,13
Daniel Mcguire,Professional,M,45
Russell Harmon,Student,M,6
John Benitez,Teenager,M,16
Wesley Delacruz,Teenager,M,16
Shannon Reid,Student,F,17
Steven Brown,Senior Citizen,M,64
Harold Miller,Middle-Aged,M,60
Jessica Middleton,Middle-Aged,F,40
Luke Bell,Retiree,M,80
James Morales,Professional,M,45
Ian Wilkinson,Middle-Aged,M,52
Jason Andrade,Professional,M,33
Zachary Anderson,Teenager,M,16
Michael Perkins,Young Adult,M,28
Andre Davis,Senior Citizen,M,74
Heather Le,Middle-Aged,F,52
Morgan Black,Teenager,M,18
Chelsea Harding,Senior Citizen,F,66
Tracy Bruce,Middle-Aged,F,56
Michael Perez,Senior Citizen,M,72
Ryan Atkinson,Retiree,M,80
Trevor Miller,Senior Citizen,M,69
Lisa Taylor,Young Adult,F,18
Erik Russell,Middle-Aged,M,51
Ms. Bianca Larson DDS,Young Adult,F,26
Gary Jones,Professional,M,42
Douglas Gray,Homemaker,M,36
Lori Davis,Middle-Aged,F,58
Kelly Hall MD,Teenager,F,18
Scott Johnson,Homemaker,M,22
Regina Andersen,Senior Citizen,F,75
Jennifer Schmidt,Homemaker,F,51
Manuel Drake,Middle-Aged,M,40
James Ho DDS,Student,M,12
Ryan Snow,Teenager,M,16
Jessica Nolan,Homemaker,F,52
Joann Davies,Senior Citizen,F,71
Lori Hill,Professional,F,54
Trevor Jenkins,Middle-Aged,M,43
Jose Baker,Retiree,M,61
Courtney Meyer,Young Adult,F,27
John Burton,Young Adult,M,27
Janet Robinson,Middle-Aged,F,57
Mitchell Jackson,Professional,M,39
Paula Gutierrez,Homemaker,F,36
Rebecca Rice,Homemaker,F,57
Samantha Wallace,Retiree,F,74
Luke Hall,Middle-Aged,M,40
Michael Gonzalez,Retiree,M,70
Tyler Smith,Student,M,11
Terry Norman,Retiree,M,70
Cody Cobb,Retiree,M,67
Sierra Scott,Retiree,F,60
Emily Underwood,Senior Citizen,F,75
Arthur Myers,Student,M,7
Nicole Cantrell,Middle-Aged,F,55
John Martin,Homemaker,M,25
Jerry Williams,Retiree,M,71
Jeffrey Brown,Young Adult,M,25
Andrea Snyder,Professional,F,46
Nancy Jackson,Teenager,F,15
Olivia Jimenez,Retiree,F,80
Angel Garcia,Senior Citizen,M,77
Amy Rodriguez,Homemaker,F,34
Angela Clark,Teenager,F,19
Kelly Thompson,Homemaker,F,31
Ryan Melendez,Homemaker,M,26
Kimberly Cisneros,Young Adult,F,19
Cole Smith,Middle-Aged,M,57
Craig Smith,Young Adult,M,27
Rodney Randolph,Teenager,M,16
Patrick Campbell,Young Adult,M,18
Emily Whitehead,Retiree,F,68
Shawn Joyce,Senior Citizen,M,76
Ashley White,Professional,F,46
Richard Harris,Middle-Aged,M,47
Matthew Bowen,Teenager,M,18
James Smith,Senior Citizen,M,74
Julia Baldwin,Retiree,F,72
Kathleen Cline,Student,F,7
Ashley Jones,Professional,F,33
Matthew Hogan,Retiree,M,61
Kristin Hudson,Professional,F,31
Terri Dunn,Homemaker,F,30
Jorge Keller,Senior Citizen,M,70
Leslie Bell,Middle-Aged,F,57
Bradley Flynn,Senior Citizen,M,73
Morgan Phillips,Homemaker,M,29
Victoria Duran,Teenager,F,16
Bruce Smith,Young Adult,M,26
Miss Jaime Roy MD,Young Adult,F,18
Paul Kline,Student,M,18
